Success : LS : test1\c5a5e5562b038073\0189424a5a60fed3\,0:-1,2016-12-12 11:45:53-194,2016-12-12 11:45:53-258
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:45:53-334,2016-12-12 11:45:53-458
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\58914F2A6381A90B,0:3673061,2016-12-12 11:45:53-581,2016-12-12 11:45:57-387
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:45:57-510,2016-12-12 11:45:57-590
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\3E4D78AE69E9F931,0:3154320,2016-12-12 11:45:57-666,2016-12-12 11:46:00-801
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:46:00-951,2016-12-12 11:46:01-064
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\769034F228DC852D,0:1785774,2016-12-12 11:46:01-152,2016-12-12 11:46:02-619
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:46:02-742,2016-12-12 11:46:02-852
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\3B5FFFBF0CDB9475,0:3938743,2016-12-12 11:46:02-946,2016-12-12 11:46:06-759
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:46:06-884,2016-12-12 11:46:06-999
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:46:07-086,2016-12-12 11:46:07-188
Success : SEQ_READ : test1\c5a5e5562b038073\6670af231c096f09,0:46,2016-12-12 11:46:07-263,2016-12-12 11:46:07-330
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:46:07-402,2016-12-12 11:46:07-516
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\3A8AB74072460D26,0:2909298,2016-12-12 11:46:07-636,2016-12-12 11:46:11-198
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:46:11-297,2016-12-12 11:46:11-591
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\3156E40E191A53E5,0:3477262,2016-12-12 11:46:11-717,2016-12-12 11:46:15-539
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:46:15-666,2016-12-12 11:46:15-805
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\37BA64C95B2352AC,0:2228595,2016-12-12 11:46:15-908,2016-12-12 11:46:18-082
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:46:18-210,2016-12-12 11:46:18-312
Success : LS : test1\f71b43c3136efa4f\,0:-1,2016-12-12 11:46:18-404,2016-12-12 11:46:18-466
